id,created,modified,slug,title,user_id,is_official,search_vector,status,language,is_draft,old_id,is_deleted,is_onboard,platform,pik_photo_id,memo,is_default
1089,2020-09-01 20:02:25.340 +0900,2020-09-01 20:02:25.342 +0900,영어독립,영어독립,520,False,'영어독립':1A,private,en,False,,False,False,,,,False
1092,2020-09-01 20:02:52.050 +0900,2020-09-01 20:02:52.052 +0900,빡독,빡독,520,False,'빡독':1A,private,en,False,,False,False,,,,False
1096,2020-09-01 20:03:45.522 +0900,2020-09-01 20:03:45.524 +0900,만담,만담,520,False,'만담':1A,private,en,False,,False,False,,,,False
2681,2021-05-28 01:38:24.119 +0900,2021-05-28 01:38:24.122 +0900,bootpay,Bootpay,971,False,'bootpay':1A,public,en,False,,False,False,,,,False
1102,2020-09-01 20:05:30.297 +0900,2020-09-01 20:05:30.299 +0900,tools,Tools,520,False,'tools':1A,private,en,False,,False,False,,,,False
1104,2020-09-01 20:05:48.869 +0900,2020-09-01 20:05:48.871 +0900,북마크-pik,북마크 Pik,520,False,'pik':2A '북마크':1A,private,en,False,,False,False,,,,False
439,2019-11-06 16:17:24.561 +0900,2020-08-26 16:35:26.751 +0900,우리카드,우리카드,49,False,'우리카드':1A,public,ko,False,,False,False,,,,False
907,2020-08-14 22:53:03.468 +0900,2020-08-26 13:52:54.525 +0900,증여세,증여세,49,False,'증여세':1A,public,ko,False,,False,False,,,,False
838,2020-07-08 13:50:11.216 +0900,2020-08-26 13:52:54.810 +0900,my-pik-from-chrome-ext,my pik from chrome ext,421,False,'chrome':4A 'ext':5A 'from':3A 'my':1A 'pik':2A,private,en,False,,False,False,,,,False
1441,2020-10-06 17:11:35.562 +0900,2020-10-06 17:11:35.564 +0900,csr-idea,CSR Idea,641,False,'csr':1A 'idea':2A,private,en,False,,False,False,,,,False
1451,2020-10-06 17:31:35.297 +0900,2020-10-06 17:31:35.299 +0900,마케팅-사례,마케팅 사례,641,False,'마케팅':1A '사례':2A,private,en,False,,False,False,,,,False
485,2019-11-20 13:53:52.799 +0900,2022-08-23 16:01:42.206 +0900,직장인이-도전해볼만한-재테크-방법-모음-070142-485,직장인이 도전해볼만한 재테크 방법 모음,430,False,'도전해볼만한':2A '모음':5A '방법':4A '재테크':3A '직장인이':1A,public,ko,False,,True,False,,,,False
24488,2022-09-15 13:42:35.037 +0900,2022-09-15 13:42:35.041 +0900,real-madrid-vs-rb-leipzig,Real Madrid vs RB Leipzig,7214,False,,public,en,False,,False,False,,,,False
