id,created,modified,title,description,url,category_id,picture_id,user_id,default_logo,position,search_vector,old_id,memo,is_deleted,is_draft,platform,curating_point,next_obj,previous_obj,imported
575896,2022-09-02 13:06:04.450 +0900,2022-09-02 13:06:12.909 +0900,"'문제적 남자' 아이즈원 장원영, 공부 열정 '수학경시대회 금상, 유창한 영어실력, 피아노, 수영...'",아이즈원 장원영이 공부에 대한 열정을 공개했다.  29일 방송된 tvN '뇌섹시대-문제적 남자'에는 걸그룹 아,https://web.archive.org/web/20190712093715/http://hei.hankyung.com/hub01/201904306796I,52004.0,568565.0,1576,1,-1,,,Archived,False,False,web,1,575895,575897,
575909,2022-09-02 13:06:46.010 +0900,2022-09-02 13:06:50.588 +0900,서태지 15년 전 특종 뒤늦게 ‘화제’,스포츠서울의 서태지 15년 전 특종이 화제로 떠올랐다. 최근 서태지-이지아 결혼 소식이 이미 15년 전 스포츠서울이 특종 보도한 사실이 뒤늦게 알려지면서 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=087&aid=0000314832,59941.0,568578.0,1576,3,-1,,,서태지 15년 전 특종 뒤늦게 화제,False,False,web,1,575908,575910,
575914,2022-09-02 13:07:01.483 +0900,2022-09-02 13:07:06.906 +0900,"서태지 결혼, 15년전에 이미 나왔었지만...","[머니투데이 오정은 기자]""아무도 기사 내용 믿지 않아"" 국내뿐 아니라 해외 언론과 팬들까지도 놀라게 한 톱스타 서태지(39)의 결혼. 그의 이지아와의 결혼은 ...",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=008&aid=0002524319,59941.0,568583.0,1576,2,-1,,,"서태지 결혼, 15년전에 이미 나왔었지만...",False,False,web,1,575913,575915,
576027,2022-09-02 13:21:22.220 +0900,2022-09-02 13:21:28.400 +0900,"미쓰비시 - 위키백과, 우리 모두의 백과사전",,https://ko.wikipedia.org/wiki/%EB%AF%B8%EC%93%B0%EB%B9%84%EC%8B%9C,63697.0,568682.0,1576,2,-1,,,미쓰비시,False,False,web,1,576026,576028,
600284,2022-10-06 00:32:02.344 +0900,2022-10-06 00:36:07.086 +0900,Airi Mashiro Ayumi Kuroki Watch online free HD porn - Pornez.net.,Watch online HD porn  Airi Mashiro Ayumi Kuroki  - Pornez.net.,https://pornez.net/pllist3er/+Airi+Mashiro+Ayumi+Kuroki+/,76836.0,588986.0,6979,4,-1,,,,False,False,chrome,1,599891,600285,
600905,2022-10-13 16:04:55.682 +0900,2022-10-13 16:05:36.877 +0900,"Netflix South Korea - Watch TV Shows Online, Watch Movies Online","Watch Netflix movies & TV shows online or stream right to your smart TV, game console, PC, Mac, mobile, tablet and more.",https://www.netflix.com,82862.0,589579.0,6963,2,-1,,,,True,False,app,1,-1,-1,
575898,2022-09-02 13:06:14.134 +0900,2022-09-02 13:06:19.043 +0900,"장원영, 캐주얼 브랜드 모델 발탁","[서울=내외뉴스통신] 홍성훈 기자장원영이 캐주얼 브랜드 키르시(KIRSH) 모델로 발탁됐다.키르시는 12일 공식 SNS 채널에 새 모델 원영의 2021 윈터 컬렉션 화보를 공개하며 모델 발탁을 알렸다.공개된 화보 속 원영은 청량하면서도 밝은 분위기와 독보적인 비주얼을 한껏 뽐내 눈길을 끌었다.브랜드 관계자는 ""원영의 발랄하고 생기 넘치는 매력이 브랜드가 추구하는 이미지와 완벽하게 부합해 모델로 선정하게 됐다""고 밝혔다.원영은 이번 화보를 시작으로 키르시의 공식 모델로서 다양한 활동을 이어갈 예정이다.한편, 원영은 다채로운 화보와 패",http://www.nbnnews.co.kr/news/articleView.html?idxno=622360,52004.0,568567.0,1576,3,-1,,,[3],False,False,web,1,575897,575899,
575902,2022-09-02 13:06:25.732 +0900,2022-09-02 13:06:30.085 +0900,"′아이브′ 장원영, 미우미우와 함께한 매거진 화보 공개","데뷔를 앞둔 그룹 아이브(IVE) 장원영이 매거진 화보를 공개했다. 패션매거진 하퍼스 바자는 이탈리아 패션 브랜드 ′미우미우’(Miu Miu)′ 앰버서더로 활동 중인 장원영과 함께한 화보와 인터뷰를 공개, 최연소 커버 모델로 발탁된 원영은 블랙 크롭트 재킷과 롱스커트를 입고 남다른 비율을 드러내는 등 다채로운 매력을 발산해 눈길을 끌었다.  또한, 이어진  ...",https://www.sportsw.kr/news/newsview.php?ncode=1065598393443905,52004.0,568571.0,1576,1,-1,,,[2],False,False,web,1,575901,575903,
575900,2022-09-02 13:06:20.260 +0900,2022-09-02 13:06:24.398 +0900,아이즈원 장원영 13일 검정고시 응시…`음중` 불참,[매일경제 스타투데이 박세연 기자]  그룹 아이즈원 멤버 장원영이 검정고시에 응시한다.   12일 소속사 오프더레코드엔터테인먼트 측은 아이즈원 공식 팬카페를 통해 장원영의 검정고시 응시 및 이로 인한 MBC ‘쇼! 음악중심’ 불참 소식,https://www.mk.co.kr/star/musics/view/2019/04/227397/,52004.0,568569.0,1576,3,-1,,,"아이즈원 측 장원영, 내일(13일) 검정고시 응시",False,False,web,1,575899,575901,
575901,2022-09-02 13:06:22.972 +0900,2022-09-02 13:06:27.470 +0900,[스경X이슈] ‘프듀48’ 제작진의 고민 “15세 미만 야간생방 금지…장원영 어쩌지?”,Mnet 12인의 데뷔조가 결정되는 마지막회를 생방송으로 진행할 수 있을지에 대한 의구심이 일각에서 일고 있다. 에는 ‘15세 미만 야간 방송 금지법’ 조항에 해당하는 어린 연습생이 일부 포함돼있기 때문이다. 201,https://entertain.naver.com/read?oid=144&aid=0000565463,52004.0,568570.0,1576,4,-1,,,프듀48 제작진의 고민 15세 미만 야간생방 금지…장원영 어쩌지?,False,False,web,1,575900,575902,
